Index,Requested Quantity 1,Pack Quantity 1,Pack Type 1,Digi-Key Part Number 1,Unit Price 1,Extended Price 1,Minimum Order Quantity 1
1,1,1,Bulk,1050-ABX00028-ND,19.71000,$19.71,1
2,1,1,Cut Tape (CT),296-48469-1-ND,1.75000,$1.75,1
3,1,1,Tube,255-2102-5-ND,7.88000,$7.88,1
4,4,4,Bulk,455-B2B-XH-A-ND,0.22000,$0.88,1
5,1,1,Box,455-B5B-XH-A-ND,0.39000,$0.39,1
6,1,1,Bulk,455-B4B-XH-A-ND,0.32000,$0.32,1
7,1,1,Cut Tape (CT),1276-1066-1-ND,0.14000,$0.14,1
8,1,1,Cut Tape (CT),1276-2891-1-ND,0.26000,$0.26,1
9,1,1,Cut Tape (CT),1276-CL21A226MAYNNNECT-ND,0.36000,$0.36,1
10,1,1,Cut Tape (CT),AZ1117IH-5.0TRG1DICT-ND,0.58000,$0.58,1
11,1,1,Bulk,277-12547-ND,0.73000,$0.73,1
12,2,2,Tray,S7013-ND,1.42000,$2.84,1
13,1,1,Bulk,754-1263-ND,0.15000,$0.15,1
14,1,1,Bulk,754-1264-ND,0.15000,$0.15,1
15,2,2,Cut Tape (CT),311-392CRCT-ND,0.15000,$0.30,1
16,1,1,Cut Tape (CT),13-RC0805FR-10200RLCT-ND,0.15000,$0.15,1
17,1,1,Bulk,EG2025-ND,2.36000,$2.36,1
18,1,1,Bulk,455-2219-ND,0.17000,$0.17,1
19,1,1,Bag,455-2267-ND,0.17000,$0.17,1
20,1,1,Bag,455-2268-ND,0.20000,$0.20,1
21,4,4,Bulk,455-2266-ND,0.15000,$0.60,1
22,50,50,Cut Tape (CT),455-4220-1-ND,0.06680,$3.34,1
23,1,1,Bulk,455-2248-ND,0.30000,$0.30,1
